in s,C2 in V
-2.97451E-01,3.34723E+00
-2.97446E-01,3.34799E+00
-2.97441E-01,3.34738E+00
-2.97436E-01,3.34692E+00
-2.97431E-01,3.34631E+00
-2.97426E-01,3.34601E+00
-2.97420E-01,3.34692E+00
-2.97415E-01,3.34784E+00
-2.97410E-01,3.34692E+00
-2.97405E-01,3.34692E+00
-2.97400E-01,3.34799E+00
-2.97395E-01,3.34662E+00
-2.97390E-01,3.34631E+00
-2.97385E-01,3.34723E+00
-2.97380E-01,3.34876E+00
-2.97375E-01,3.34876E+00
-2.97370E-01,3.34967E+00
-2.97365E-01,3.35028E+00
-2.97360E-01,3.35059E+00
-2.97355E-01,3.35013E+00
-2.97350E-01,3.34876E+00
-2.97345E-01,3.34906E+00
-2.97340E-01,3.34769E+00
-2.97335E-01,3.34815E+00
-2.97330E-01,3.34738E+00
-2.97325E-01,3.34647E+00
-2.97320E-01,3.34540E+00
-2.97315E-01,3.34494E+00
-2.97310E-01,3.34479E+00
-2.97305E-01,3.34525E+00
-2.97300E-01,3.34586E+00
-2.97294E-01,3.34677E+00
-2.97289E-01,3.34723E+00
-2.97284E-01,3.34738E+00
-2.97279E-01,3.34845E+00
-2.97274E-01,3.34906E+00
-2.97269E-01,3.34906E+00
-2.97264E-01,3.34921E+00
-2.97259E-01,3.34784E+00
-2.97254E-01,3.34738E+00
-2.97249E-01,3.34647E+00
-2.97244E-01,3.34769E+00
-2.97239E-01,3.34677E+00
-2.97234E-01,3.34753E+00
-2.97229E-01,3.34815E+00
-2.97224E-01,3.34815E+00
-2.97219E-01,3.34692E+00
-2.97214E-01,3.34815E+00
-2.97209E-01,3.34830E+00
-2.97204E-01,3.34784E+00
-2.97199E-01,3.34784E+00
-2.97194E-01,3.34799E+00
-2.97189E-01,3.34784E+00
-2.97184E-01,3.34723E+00
-2.97179E-01,3.34738E+00
-2.97174E-01,3.34769E+00
-2.97168E-01,3.34723E+00
-2.97163E-01,3.34708E+00
-2.97158E-01,3.34692E+00
-2.97153E-01,3.34616E+00
-2.97148E-01,3.34769E+00
-2.97143E-01,3.34662E+00
-2.97138E-01,3.34708E+00
-2.97133E-01,3.34723E+00
-2.97128E-01,3.34784E+00
-2.97123E-01,3.34738E+00
-2.97118E-01,3.34845E+00
-2.97113E-01,3.34769E+00
-2.97108E-01,3.34784E+00
-2.97103E-01,3.34723E+00
-2.97098E-01,3.34692E+00
-2.97093E-01,3.34708E+00
-2.97088E-01,3.34647E+00
-2.97083E-01,3.34631E+00
-2.97078E-01,3.34662E+00
-2.97073E-01,3.34677E+00
-2.97068E-01,3.34601E+00
-2.97063E-01,3.34784E+00
-2.97058E-01,3.34662E+00
-2.97053E-01,3.34769E+00
-2.97048E-01,3.34631E+00
-2.97042E-01,3.34601E+00
-2.97037E-01,3.34555E+00
-2.97032E-01,3.34631E+00
-2.97027E-01,3.34616E+00
-2.97022E-01,3.34601E+00
-2.97017E-01,3.34662E+00
-2.97012E-01,3.34784E+00
-2.97007E-01,3.34723E+00
-2.97002E-01,3.34753E+00
-2.96997E-01,3.34723E+00
-2.96992E-01,3.34708E+00
-2.96987E-01,3.34723E+00
-2.96982E-01,3.34647E+00
-2.96977E-01,3.34738E+00
-2.96972E-01,3.34708E+00
-2.96967E-01,3.34845E+00
-2.96962E-01,3.34952E+00
-2.96957E-01,3.34967E+00
-2.96952E-01,3.34876E+00
-2.96947E-01,3.34952E+00
-2.96942E-01,3.35013E+00
-2.96937E-01,3.34982E+00
-2.96932E-01,3.35043E+00
-2.96927E-01,3.34952E+00
-2.96922E-01,3.34952E+00
-2.96916E-01,3.34845E+00
-2.96911E-01,3.34753E+00
-2.96906E-01,3.34784E+00
-2.96901E-01,3.34723E+00
-2.96896E-01,3.34769E+00
-2.96891E-01,3.34708E+00
-2.96886E-01,3.34586E+00
-2.96881E-01,3.34662E+00
-2.96876E-01,3.34586E+00
-2.96871E-01,3.34753E+00
-2.96866E-01,3.34815E+00
-2.96861E-01,3.34555E+00
-2.96856E-01,3.34616E+00
-2.96851E-01,3.34540E+00
-2.96846E-01,3.34692E+00
-2.96841E-01,3.34723E+00
-2.96836E-01,3.34692E+00
-2.96831E-01,3.34692E+00
-2.96826E-01,3.34830E+00
-2.96821E-01,3.34769E+00
-2.96816E-01,3.34769E+00
-2.96811E-01,3.34753E+00
-2.96806E-01,3.34845E+00
-2.96801E-01,3.34738E+00
-2.96796E-01,3.34662E+00
-2.96790E-01,3.34891E+00
-2.96785E-01,3.34799E+00
-2.96780E-01,3.34815E+00
-2.96775E-01,3.34677E+00
-2.96770E-01,3.34631E+00
-2.96765E-01,3.34769E+00
-2.96760E-01,3.34662E+00
-2.96755E-01,3.34723E+00
-2.96750E-01,3.34616E+00
-2.96745E-01,3.34708E+00
-2.96740E-01,3.34830E+00
-2.96735E-01,3.34631E+00
-2.96730E-01,3.34677E+00
-2.96725E-01,3.34601E+00
-2.96720E-01,3.34586E+00
-2.96715E-01,3.34555E+00
-2.96710E-01,3.34464E+00
-2.96705E-01,3.34570E+00
-2.96700E-01,3.34647E+00
-2.96695E-01,3.34738E+00
-2.96690E-01,3.34738E+00
-2.96685E-01,3.34815E+00
-2.96680E-01,3.34830E+00
-2.96675E-01,3.34860E+00
-2.96670E-01,3.34769E+00
-2.96664E-01,3.34784E+00
-2.96659E-01,3.34799E+00
-2.96654E-01,3.34753E+00
